"year","site","buglevels"
2013,"Bondi Beach",32.2241379310345
2013,"Bronte Beach",26.7586206896552
2013,"Clovelly Beach",9.27586206896552
2013,"Coogee Beach",39.6724137931034
2013,"Gordons Bay (East)",24.7727272727273
2013,"Little Bay Beach",121.534482758621
2013,"Malabar Beach",101.413793103448
2013,"Maroubra Beach",47.1379310344828
2013,"South Maroubra Beach",39.3448275862069
2013,"South Maroubra Rockpool",96.3888888888889
2013,"Tamarama Beach",29.6896551724138
2014,"Bondi Beach",11.0754716981132
2014,"Bronte Beach",17.4905660377358
2014,"Clovelly Beach",13.8301886792453
2014,"Coogee Beach",52.6153846153846
2014,"Gordons Bay (East)",16.6981132075472
2014,"Little Bay Beach",19.4716981132075
2014,"Malabar Beach",54.4905660377358
2014,"Maroubra Beach",9.22641509433962
2014,"South Maroubra Beach",14.9245283018868
2014,"South Maroubra Rockpool",40.622641509434
2014,"Tamarama Beach",39.5849056603774
2015,"Bondi Beach",14.3333333333333
2015,"Bronte Beach",23.5892857142857
2015,"Clovelly Beach",8.82456140350877
2015,"Coogee Beach",40.3333333333333
2015,"Gordons Bay (East)",36.1929824561403
2015,"Little Bay Beach",25.4912280701754
2015,"Malabar Beach",66.8771929824561
2015,"Maroubra Beach",14.5263157894737
2015,"South Maroubra Beach",8.24561403508772
2015,"South Maroubra Rockpool",47.2631578947368
2015,"Tamarama Beach",56.9824561403509
2016,"Bondi Beach",19.3559322033898
2016,"Bronte Beach",61.3220338983051
2016,"Clovelly Beach",11.2881355932203
2016,"Coogee Beach",59.5483870967742
2016,"Gordons Bay (East)",39.0169491525424
2016,"Little Bay Beach",31.2372881355932
2016,"Malabar Beach",91.015873015873
2016,"Maroubra Beach",26.5932203389831
2016,"South Maroubra Beach",10.6779661016949
2016,"South Maroubra Rockpool",59.3220338983051
2016,"Tamarama Beach",50.2586206896552
2017,"Bondi Beach",13.1803278688525
2017,"Bronte Beach",16.7868852459016
2017,"Clovelly Beach",7.9344262295082
2017,"Coogee Beach",20.741935483871
2017,"Gordons Bay (East)",13.655737704918
2017,"Little Bay Beach",18.2459016393443
2017,"Malabar Beach",49.758064516129
2017,"Maroubra Beach",11.5901639344262
2017,"South Maroubra Beach",8.26229508196721
2017,"South Maroubra Rockpool",46.9180327868852
2017,"Tamarama Beach",20.3770491803279
2018,"Bondi Beach",22.8695652173913
2018,"Bronte Beach",43.4166666666667
2018,"Clovelly Beach",10.6304347826087
2018,"Coogee Beach",21.5625
2018,"Gordons Bay (East)",17.6041666666667
2018,"Little Bay Beach",59.0625
2018,"Malabar Beach",38.0416666666667
2018,"Maroubra Beach",9.21276595744681
2018,"South Maroubra Beach",12.5
2018,"South Maroubra Rockpool",112.1875
2018,"Tamarama Beach",15.4791666666667
